np,coating,bacteria,mdr,strain,np_synthesis,method,MIC_NP (µg/mL),np_size_min (nm),np_size_max (nm),np_size_avg (nm),shape,time_set (hours),Solvent for extract,reference,doi,article_list,journal_name,publisher,year,title,Bacteria,Strain,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,bac_type,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C ",biosafety_level,common_environment,prim_specific_habitat,sec_habitat,Red_env_type,Red_env_strength,Capping_type,Solvent_polar,Solvent_aqueous,Bio_component_class,Template_type,Post_treatment,Source_origin,Canonical_smiles,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
Ag,0,Bacillus subtilis,0,MTCC 441,chemical_synthesis using sodium borohydride and silver ions,MIC,3.6888794541139363,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Bacillus subtilis,MTCC 441,Prokaryota,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,non-pathogenic,p,6.0,12,18,33.5,1,nature,soil,plants,chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Bacillus subtilis,0,MTCC 441,chemical_synthesis using sodium borohydride and silver ions,MBC,4.0943445622221,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Bacillus subtilis,MTCC 441,Prokaryota,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,non-pathogenic,p,6.0,12,18,33.5,1,nature,soil,plants,chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 443,chemical_synthesis using sodium borohydride and silver ions,MIC,3.6888794541139363,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,MTCC 443,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,pathogenic,n,6.0,12,18,37.0,1,human,guts,"clinical samples (blood, stool, urine)",chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 739,chemical_synthesis using sodium borohydride and silver ions,MIC,5.19295685089021,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,MTCC 739,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,pathogenic,n,6.0,12,24,37.0,1,human,guts,"clinical samples (blood, stool, urine)",chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 1302,chemical_synthesis using sodium borohydride and silver ions,MIC,4.787491742782046,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,opportunistic pathogen,n,1.5,4,24,37.0,1,human,guts,mouth,chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 1687,chemical_synthesis using sodium borohydride and silver ions,MIC,4.941642422609304,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,opportunistic pathogen,n,1.5,4,24,37.0,1,human,guts,mouth,chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 443,chemical_synthesis using sodium borohydride and silver ions,MBC,4.0943445622221,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,MTCC 443,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,pathogenic,n,6.0,12,18,37.0,1,human,guts,"clinical samples (blood, stool, urine)",chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 739,chemical_synthesis using sodium borohydride and silver ions,MBC,5.393627546352362,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,MTCC 739,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,pathogenic,n,6.0,12,24,37.0,1,human,guts,"clinical samples (blood, stool, urine)",chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 1302,chemical_synthesis using sodium borohydride and silver ions,MBC,5.075173815233827,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,opportunistic pathogen,n,1.5,4,24,37.0,1,human,guts,mouth,chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
Ag,0,Escherichia coli,0,MTCC 1687,chemical_synthesis using sodium borohydride and silver ions,MBC,5.19295685089021,2.26,10.34,3.32,spherical,24.0,water,https://doi.org/10.1016/j.actbio.2007.11.006,10.1016/j.actbio.2007.11.006,1,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,Escherichia coli,,Prokaryota,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,opportunistic pathogen,n,1.5,4,24,37.0,1,human,guts,mouth,chemical,strong,none,0,0,None,none,none,lab,[Ag],11,107.868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001880613197383,0.0,-0.0025,0.0,1.7837651700316897,0.0,0.0,0.0,0.0,0.3015113445777636,0.0,0.0,0.0,0.0,0.7402597402597404,1.7402597402597404,0.0911369332421962,2.143768512189564,0.1586019357721338
