iter	Passed	Remaining
0	2	2086
1	4	1846
2	6	1563
3	7	1405
4	8	1297
5	9	1238
6	11	1211
7	12	1160
8	13	1117
9	14	1081
10	15	1061
11	16	1038
12	17	1016
13	18	995
14	19	977
15	20	979
16	21	975
17	22	961
18	23	947
19	24	937
20	25	928
21	27	926
22	28	919
23	29	912
24	30	906
25	31	902
26	32	899
27	33	894
28	34	891
29	35	890
30	37	890
31	38	887
32	39	886
33	40	886
34	41	885
35	43	897
36	45	897
37	46	899
38	47	904
39	49	910
40	51	919
41	53	939
42	55	948
43	58	965
44	60	979
45	62	993
46	65	1010
47	67	1026
48	70	1046
49	73	1065
50	75	1073
51	78	1088
52	81	1104
53	83	1113
54	85	1122
55	88	1131
56	90	1141
57	93	1151
58	95	1157
59	97	1162
60	99	1167
61	101	1171
62	104	1179
63	107	1189
64	109	1195
65	112	1201
66	114	1206
67	116	1211
68	119	1216
69	120	1216
70	123	1220
71	125	1224
72	127	1225
73	129	1228
74	131	1229
75	134	1232
76	136	1232
77	138	1234
78	140	1236
79	142	1237
80	144	1238
81	146	1239
82	149	1241
83	151	1244
84	153	1244
85	155	1245
86	157	1245
87	159	1246
88	162	1248
89	164	1251
90	166	1252
91	169	1255
92	171	1255
93	173	1256
94	176	1259
95	178	1261
96	180	1261
97	183	1263
98	185	1263
99	187	1263
100	189	1263
101	192	1266
102	194	1266
103	196	1266
104	199	1268
105	201	1268
106	203	1267
107	206	1270
108	208	1270
109	210	1270
110	213	1272
111	215	1273
112	217	1273
113	219	1273
114	222	1272
115	225	1276
116	227	1278
117	230	1278
118	232	1279
119	234	1279
120	237	1280
121	239	1279
122	241	1279
123	243	1278
124	246	1278
125	248	1276
126	250	1275
127	252	1275
128	255	1275
129	257	1273
130	258	1270
131	261	1270
132	263	1270
133	265	1269
134	268	1268
135	270	1266
136	271	1263
137	274	1264
138	276	1263
139	278	1262
140	280	1260
141	282	1259
142	285	1258
143	287	1255
144	289	1253
145	290	1249
146	292	1247
147	294	1245
148	296	1242
149	298	1240
150	300	1237
151	301	1233
152	303	1231
153	304	1227
154	306	1224
155	307	1219
156	309	1214
157	310	1209
158	311	1203
159	312	1198
160	313	1193
161	314	1188
162	315	1184
163	317	1179
164	318	1176
165	320	1172
166	321	1167
167	322	1162
168	324	1160
169	325	1156
170	326	1150
171	327	1145
172	328	1141
173	329	1137
174	330	1132
175	332	1128
176	333	1126
177	335	1122
178	336	1118
179	338	1116
180	339	1112
181	340	1108
182	342	1105
183	343	1101
184	345	1098
185	346	1094
186	347	1090
187	348	1086
188	350	1083
189	351	1079
190	352	1075
191	353	1072
192	355	1068
193	356	1064
194	357	1061
195	358	1058
196	360	1054
197	361	1050
198	363	1049
199	364	1045
200	365	1041
201	366	1038
202	367	1034
203	368	1030
204	370	1028
205	371	1024
206	373	1022
207	374	1019
208	375	1016
209	377	1013
210	378	1011
211	380	1009
212	382	1006
213	383	1003
214	385	1003
215	387	1000
216	388	997
217	389	993
218	391	991
219	392	987
220	393	984
221	394	980
222	395	976
223	396	972
224	397	970
225	398	967
226	400	964
227	401	961
228	402	958
229	404	956
230	406	954
231	407	952
232	408	949
233	410	948
234	411	944
235	413	942
236	414	939
237	416	937
238	417	933
239	418	931
240	419	928
241	421	925
242	422	924
243	424	921
244	426	919
245	427	917
246	429	915
247	431	914
248	432	911
249	433	908
250	434	906
251	435	903
252	437	900
253	438	897
254	440	896
255	441	893
256	443	891
257	444	889
258	446	886
259	447	883
260	448	881
261	449	878
262	450	875
263	451	872
264	453	871
265	454	868
266	455	865
267	456	862
268	458	860
269	459	857
270	460	854
271	461	852
272	463	849
273	464	847
274	466	846
275	467	843
276	468	840
277	470	839
278	471	836
279	473	834
280	474	832
281	475	829
282	476	827
283	478	826
284	479	823
285	481	821
286	482	819
287	484	817
288	485	814
289	487	813
290	488	810
291	489	808
292	491	806
293	492	803
294	493	800
295	494	798
296	495	796
297	497	794
298	498	791
299	499	789
300	501	787
301	502	785
302	503	783
303	504	780
304	505	777
305	507	775
306	508	773
307	509	770
308	510	768
309	511	765
310	512	762
311	513	760
312	514	758
313	516	755
314	517	753
315	518	751
316	519	749
317	521	747
318	522	744
319	523	742
320	524	740
321	526	738
322	527	736
323	528	734
324	530	732
325	531	730
326	532	727
327	533	725
328	534	723
329	535	721
330	537	718
331	538	716
332	539	713
333	540	711
334	541	709
335	542	707
336	544	705
337	545	703
338	546	701
339	548	700
340	549	698
341	550	695
342	552	693
343	553	691
344	554	689
345	555	687
346	557	685
347	558	683
348	559	681
349	561	679
350	562	678
351	564	676
352	564	673
353	566	671
354	567	669
355	568	667
356	570	666
357	571	664
358	573	662
359	574	660
360	576	659
361	576	656
362	578	654
363	579	652
364	580	650
365	582	649
366	583	647
367	585	645
368	586	644
369	588	642
370	589	640
371	591	638
372	592	636
373	594	635
374	595	633
375	596	631
376	597	629
377	598	627
378	599	625
379	600	623
380	602	621
381	604	619
382	605	617
383	607	616
384	608	614
385	609	612
386	611	611
387	612	609
388	613	607
389	614	605
390	616	603
391	617	601
392	618	599
393	619	597
394	621	596
395	622	594
396	623	592
397	625	590
398	626	588
399	627	586
400	628	584
401	629	582
402	630	580
403	631	578
404	632	576
405	634	575
406	635	573
407	637	571
408	638	570
409	639	568
410	641	566
411	642	564
412	643	562
413	645	560
414	646	559
415	648	557
416	649	556
417	650	554
418	651	552
419	653	550
420	654	548
421	655	546
422	656	544
423	657	542
424	659	541
425	660	539
426	661	537
427	662	535
428	663	533
429	664	531
430	665	529
431	666	527
432	667	525
433	668	523
434	669	521
435	670	519
436	672	518
437	673	516
438	674	514
439	675	512
440	676	510
441	676	508
442	677	506
443	679	504
444	680	503
445	681	501
446	682	498
447	683	497
448	684	495
449	685	493
450	686	491
451	687	489
452	688	487
453	689	485
454	690	483
455	691	481
456	691	479
457	692	477
458	693	475
459	694	473
460	695	472
461	695	469
462	696	467
463	697	465
464	698	464
465	699	462
466	699	460
467	700	458
468	701	456
469	702	454
470	702	452
471	703	450
472	704	448
473	704	446
474	705	444
475	706	442
476	707	440
477	707	438
478	708	436
479	709	434
480	710	432
481	711	430
482	712	429
483	712	427
484	713	425
485	714	423
486	715	421
487	715	419
488	716	417
489	717	415
490	718	413
491	718	412
492	719	410
493	720	408
494	721	406
495	721	404
496	722	402
497	723	400
498	724	399
499	724	397
500	725	395
501	726	393
502	727	391
503	728	390
504	728	388
505	729	386
506	730	384
507	731	383
508	732	381
509	733	379
510	733	377
511	734	375
512	735	374
513	736	372
514	737	370
515	738	369
516	739	367
517	740	365
518	741	364
519	742	362
520	742	360
521	743	359
522	744	357
523	745	355
524	747	354
525	748	352
526	749	351
527	750	349
528	751	347
529	752	346
530	753	344
531	753	342
532	754	341
533	755	339
534	756	338
535	757	336
536	758	334
537	759	333
538	760	331
539	761	329
540	762	328
541	763	326
542	764	325
543	765	323
544	766	322
545	767	320
546	768	318
547	769	317
548	770	315
549	771	314
550	772	312
551	773	311
552	774	309
553	775	307
554	776	306
555	777	304
556	777	303
557	778	301
558	779	299
559	780	298
560	781	296
561	782	295
562	783	293
563	784	292
564	784	290
565	785	288
566	786	287
567	787	285
568	788	284
569	789	282
570	790	280
571	790	279
572	791	277
573	792	276
574	793	274
575	794	273
576	795	271
577	796	270
578	796	268
579	797	266
580	798	265
581	799	263
582	800	262
583	801	260
584	801	259
585	802	257
586	803	255
587	804	254
588	805	252
589	806	251
590	806	249
591	807	248
592	808	246
593	809	245
594	809	243
595	810	242
596	811	240
597	812	239
598	813	237
599	813	235
600	814	234
601	815	232
602	816	231
603	817	230
604	818	228
605	819	227
606	820	225
607	821	224
608	821	222
609	822	221
610	823	219
611	824	218
612	825	216
613	826	215
614	827	213
615	827	212
616	828	210
617	829	209
618	830	208
619	831	206
620	832	205
621	833	203
622	833	202
623	834	200
624	835	199
625	836	197
626	837	196
627	837	194
628	838	193
629	839	191
630	840	190
631	840	188
632	841	187
633	841	185
634	842	184
635	843	182
636	843	181
637	844	180
638	845	178
639	845	177
640	846	175
641	846	174
642	847	172
643	848	171
644	848	169
645	849	168
646	850	166
647	850	165
648	851	163
649	851	162
650	852	161
651	853	159
652	853	158
653	854	156
654	855	155
655	855	153
656	856	152
657	857	151
658	857	149
659	858	148
660	859	146
661	860	145
662	860	144
663	861	142
664	862	141
665	862	139
666	863	138
667	864	137
668	865	135
669	865	134
670	866	133
671	867	131
672	867	130
673	868	128
674	869	127
675	869	126
676	870	124
677	871	123
678	871	121
679	872	120
680	873	119
681	873	117
682	874	116
683	875	115
684	876	113
