iter	Passed	Remaining
0	3	6831
1	7	6612
2	11	6626
3	15	6538
4	19	6807
5	24	7035
6	30	7360
7	33	7203
8	37	7201
9	42	7311
10	46	7203
11	50	7225
12	55	7261
13	59	7260
14	63	7190
15	67	7169
16	71	7166
17	76	7200
18	79	7131
19	83	7069
20	86	7015
21	90	6971
22	93	6901
23	96	6829
24	99	6762
25	102	6712
26	106	6669
27	109	6620
28	112	6582
29	116	6573
30	121	6620
31	125	6624
32	129	6625
33	133	6643
34	138	6654
35	142	6648
36	145	6638
37	149	6639
38	153	6601
39	156	6585
40	159	6550
41	163	6540
42	167	6551
43	171	6543
44	176	6557
45	180	6567
46	184	6585
47	189	6613
48	194	6650
49	199	6662
50	204	6695
51	210	6763
52	215	6788
53	220	6809
54	225	6843
55	230	6859
56	235	6863
57	239	6879
58	244	6875
59	248	6885
60	253	6889
61	258	6909
62	263	6926
63	267	6916
64	271	6927
65	277	6951
66	281	6952
67	287	6976
68	291	6977
69	296	6998
70	300	6994
71	306	7008
72	310	7001
73	314	7005
74	320	7035
75	325	7043
76	330	7049
77	335	7071
78	340	7069
79	345	7077
80	349	7081
81	354	7088
82	359	7104
83	364	7107
84	369	7113
85	374	7123
86	379	7132
87	384	7132
88	389	7138
89	394	7149
90	399	7155
91	404	7168
92	410	7179
93	414	7171
94	419	7179
95	424	7190
96	429	7198
97	434	7202
98	439	7196
99	443	7194
100	449	7209
101	455	7226
102	460	7230
103	465	7240
104	471	7255
105	477	7270
106	483	7289
107	489	7305
108	494	7313
109	500	7323
110	506	7341
111	512	7361
112	517	7369
113	523	7379
114	528	7383
115	534	7389
116	539	7390
117	544	7399
118	550	7411
119	556	7428
120	562	7432
121	567	7442
122	572	7441
123	578	7446
124	584	7459
125	590	7473
126	596	7482
127	601	7483
128	607	7498
129	614	7517
130	620	7527
131	625	7534
132	632	7548
133	638	7563
134	645	7584
135	651	7593
136	656	7596
137	664	7623
138	672	7651
139	677	7648
140	682	7650
141	688	7653
142	699	7721
143	711	7790
144	719	7818
145	726	7832
146	733	7850
147	740	7867
148	746	7880
149	752	7882
150	760	7905
151	769	7942
152	775	7949
153	782	7962
154	787	7957
155	794	7972
156	800	7971
157	805	7971
158	811	7971
159	816	7963
160	822	7965
161	827	7959
162	831	7947
163	835	7936
164	840	7930
165	845	7922
166	850	7914
167	855	7905
168	859	7892
169	863	7879
170	867	7863
171	871	7849
172	876	7842
173	881	7837
174	886	7828
175	890	7818
176	895	7811
177	900	7801
178	904	7790
179	909	7784
180	914	7777
181	919	7775
182	924	7769
183	928	7759
184	933	7750
185	938	7742
186	942	7734
187	947	7728
188	952	7721
189	956	7710
190	961	7701
191	965	7691
192	970	7685
193	975	7677
194	979	7666
195	984	7656
196	988	7649
197	993	7638
198	998	7635
199	1003	7634
200	1009	7635
201	1014	7632
202	1020	7631
203	1025	7628
204	1030	7619
205	1035	7616
206	1040	7607
207	1045	7602
208	1049	7594
209	1054	7588
210	1059	7583
211	1064	7579
212	1070	7578
213	1075	7570
214	1079	7561
215	1084	7555
216	1090	7560
217	1096	7558
218	1102	7559
219	1106	7550
220	1112	7549
221	1118	7552
222	1123	7545
223	1128	7541
224	1133	7537
225	1139	7538
226	1145	7536
227	1151	7537
228	1156	7535
229	1162	7533
230	1167	7530
231	1172	7523
232	1177	7522
233	1183	7520
234	1188	7518
235	1194	7517
236	1200	7518
237	1205	7510
238	1210	7506
239	1216	7506
240	1221	7501
241	1227	7500
242	1231	7492
243	1237	7490
244	1242	7487
245	1248	7485
246	1254	7484
247	1260	7484
248	1265	7480
249	1271	7483
250	1277	7481
251	1282	7478
252	1288	7474
253	1293	7473
254	1299	7469
255	1304	7467
256	1310	7466
257	1316	7464
258	1322	7466
259	1327	7460
260	1333	7458
261	1338	7454
262	1344	7455
263	1350	7453
264	1356	7453
265	1362	7452
266	1368	7452
267	1373	7448
268	1379	7444
269	1384	7440
270	1389	7436
271	1395	7433
272	1400	7427
273	1405	7424
274	1411	7423
275	1416	7418
276	1421	7408
277	1425	7398
278	1429	7389
279	1433	7379
280	1438	7371
281	1442	7363
282	1447	7354
283	1451	7344
284	1455	7333
285	1459	7323
286	1463	7313
287	1467	7303
288	1473	7299
289	1478	7294
290	1483	7291
291	1489	7290
