Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
ExtraTreeRegressor,0.3552522412945247,0.6796794574584263,803.3707560794062,0.009965658187866211
GradientBoostingRegressor,0.3179259640445179,0.6611351923278497,826.2982958610994,0.1355452537536621
HistGradientBoostingRegressor,0.27210033019356816,0.6383683169114542,853.6048211963003,0.6110737323760986
BaggingRegressor,0.24590509023065021,0.6253541212610874,868.8285884844133,0.048836708068847656
LGBMRegressor,0.24179803764258423,0.6233136747523667,871.1913410177755,0.0468747615814209
XGBRegressor,0.2104641175916292,0.6077465042811916,889.0107946428996,1.2958765029907227
RandomForestRegressor,0.20034580525432488,0.6027195720371805,894.6892270429464,0.4452681541442871
KNeighborsRegressor,0.09041717171071251,0.5481053464550036,954.2061791219498,0.04952740669250488
ExtraTreesRegressor,0.03538132394190241,0.5207626959711362,982.6501644964928,0.26439809799194336
LassoLarsIC,-0.0905828819937129,0.4581817528948433,1044.8415540708575,0.033388376235961914
AdaBoostRegressor,-0.10445137163574048,0.4512916752382945,1051.4639750214726,0.04386258125305176
TransformedTargetRegressor,-0.11530920739753459,0.4458973364521802,1056.6197932793923,0.016826391220092773
LinearRegression,-0.11530920739753459,0.4458973364521802,1056.6197932793923,0.013953447341918945
RidgeCV,-0.130957053283838,0.438123247413125,1064.006190819589,0.023664236068725586
Ridge,-0.14953425667103337,0.4288938087876395,1072.7093279779601,0.01257181167602539
LassoCV,-0.15522238209434924,0.4260678611251003,1075.3600431122554,0.4166285991668701
Lasso,-0.15565485231470944,0.42585300330861564,1075.5613107144804,0.03089284896850586
LassoLars,-0.16011177809379484,0.4236387344502166,1077.6333324530294,0.014724969863891602
BayesianRidge,-0.21194641372711254,0.3978864950909886,1101.4449779593692,0.025128602981567383
ElasticNet,-0.3782495733394915,0.31526454318165387,1174.5865716495039,0.02289748191833496
PoissonRegressor,-0.4150884605692957,0.296962420863662,1190.180671069679,0.030936241149902344
TweedieRegressor,-0.44232573921913154,0.28343052446438044,1201.5802326151795,0.014848709106445312
ElasticNetCV,-0.5409580552549615,0.23442848210263056,1241.9854465670753,0.0666036605834961
MLPRegressor,-0.5456356188728317,0.23210459699311548,1243.8690357902797,0.44231176376342773
OrthogonalMatchingPursuitCV,-0.5554062165878493,0.22725041468883922,1247.7943457754573,0.016019105911254883
HuberRegressor,-0.5693757242749355,0.22031014972328045,1253.385203342301,0.05372142791748047
OrthogonalMatchingPursuit,-0.5876097350597687,0.2112512144289047,1260.6454909960846,0.00796961784362793
PassiveAggressiveRegressor,-0.6130864000898988,0.19859401778973185,1270.7201392960176,0.010967254638671875
KernelRidge,-0.623733141079928,0.19330455411315672,1274.9067649744181,0.015947341918945312
LassoLarsCV,-0.7398859823459805,0.13559804698734723,1319.7190712685854,0.036060333251953125
LinearSVR,-0.8460757159431822,0.08284136405370568,1359.3955780216745,0.010477066040039062
LarsCV,-0.9198647989146644,0.04618181964749157,1386.297439377738,0.04883837699890137
DummyRegressor,-1.0137534475892593,-0.00046349625453645515,1419.7904368957422,0.006976127624511719
NuSVR,-1.1814832381009275,-0.08379422020300864,1477.7366286842064,0.023920059204101562
SVR,-1.2460034121627723,-0.11584882897258764,1499.4303736307183,0.03587627410888672
QuantileRegressor,-1.2555453630111346,-0.12058941601827078,1502.612097890035,10.713081359863281
DecisionTreeRegressor,-1.3020029243396074,-0.1436702426655374,1518.007906758873,0.011960744857788086
GaussianProcessRegressor,-12.496968687731382,-5.705500367153171,3675.692890758782,0.054096221923828125
SGDRegressor,-2.5658872808748422e+17,-1.2747720248932338e+17,506803826345.156,0.008969545364379883
RANSACRegressor,-1.0692103046207635e+24,-5.312000239517169e+23,1034552813158760.8,0.1718127727508545
Lars,-2.6384098979240945e+43,-1.3108023696692955e+43,5.139161099609144e+24,0.014949798583984375
