,Unnamed: 0,np_size_max__nm_,np_synthesis,np_size_min__nm_,np_size_avg__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,Solvent_for_extract,time_set__hours_,shape,coating,Valance_electron,prim_specific_habitat,chi0v,amw,min_Incub_period__h,K00058,max_Incub_period__h,K12472,mdr,K07009,K17939,K14198,K07486,MIC_NP___g_mL_,bacteria
0,0,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688879454113936,Bacillus subtilis
1,1,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221,Bacillus subtilis
2,2,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688879454113936,Escherichia coli
3,3,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19295685089021,Escherichia coli
4,4,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787491742782046,Escherichia coli
5,5,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941642422609304,Escherichia coli
6,6,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221,Escherichia coli
7,7,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362,Escherichia coli
8,8,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827,Escherichia coli
9,9,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19295685089021,Escherichia coli
10,10,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,4.787491742782046,Staphylococcus aureus
11,11,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.787491742782046,Staphylococcus aureus
12,12,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.787491742782046,Staphylococcus aureus
13,13,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827,Staphylococcus aureus
14,14,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827,Staphylococcus aureus
15,15,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827,Staphylococcus aureus
16,16,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995732273553991,Bacillus subtilis
17,17,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688879454113936,Bacillus subtilis
18,18,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941642422609304,Escherichia coli
19,19,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362,Escherichia coli
20,20,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298317366548036,Escherichia coli
21,21,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.634789603169249,Escherichia coli
22,22,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827,Escherichia coli
23,23,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528,Escherichia coli
24,24,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362,Escherichia coli
25,25,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,Escherichia coli
26,26,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,4.941642422609304,Staphylococcus aureus
27,27,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.941642422609304,Staphylococcus aureus
28,28,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.941642422609304,Staphylococcus aureus
29,29,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827,Staphylococcus aureus
30,30,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827,Staphylococcus aureus
31,31,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827,Staphylococcus aureus
32,32,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.852030263919617,Klebsiella pneumoniae
33,33,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.772588722239781,Pseudomonas aeruginosa
34,34,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus epidermidis
35,35,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,8.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265,Acinetobacter baumannii
36,36,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158883083359672,Escherichia coli
37,37,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,5.545177444479562,Staphylococcus aureus
38,38,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,bladder,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus saprophyticus
39,39,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus sciuri
40,40,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4700036292457356,Pseudomonas aeruginosa
41,41,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.772588722239781,Pseudomonas aeruginosa
42,42,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,5.545177444479562,Staphylococcus aureus
43,43,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus epidermidis
44,44,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,bladder,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus saprophyticus
45,45,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus sciuri
46,46,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,8.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265,Acinetobacter baumannii
47,47,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158883083359672,Escherichia coli
48,48,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.852030263919617,Klebsiella pneumoniae
49,49,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158883083359672,Escherichia coli
50,50,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.852030263919617,Klebsiella pneumoniae
51,51,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.772588722239781,Pseudomonas aeruginosa
52,52,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,soil,1.7837651700316897,107.868,8.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265,Acinetobacter baumannii
53,53,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,5.545177444479562,Staphylococcus aureus
54,54,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562,Staphylococcus epidermidis
55,55,60.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),60.0,60.0,MIC,48.07498601007275,1139.4714854111403,water,20.0,spherical,1.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9162907318741552,Pseudomonas aeruginosa
56,56,10.0,green_synthesis,10.0,10.0,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4524341636244356,Pseudomonas aeruginosa
