iter	RMSE
0	1.011959528
1	0.9579202712
2	0.9002096493
3	0.8499731989
4	0.8003564623
5	0.7708281627
6	0.7451497382
7	0.7274671075
8	0.7074135316
9	0.6924767697
10	0.6591660547
11	0.6469481715
12	0.632531183
13	0.6189567242
14	0.606378244
15	0.5947048409
16	0.5872637257
17	0.5763982388
18	0.564993802
19	0.5585200946
20	0.5504834559
21	0.5375806103
22	0.5303814898
23	0.5269050289
24	0.523584968
25	0.5201885499
26	0.5013239818
27	0.4989213115
28	0.4929315273
29	0.4832368747
30	0.4760303786
31	0.4639417737
32	0.4540878304
33	0.443648542
34	0.4418839308
35	0.4405936832
36	0.4390082629
37	0.4372412408
38	0.4335138667
39	0.4322143903
40	0.4274942134
41	0.4197789244
42	0.4169181133
43	0.4162255783
44	0.4141049891
45	0.4086883358
46	0.4068347915
47	0.405822459
48	0.4012790188
49	0.3959327666
50	0.395157207
51	0.393814263
52	0.3916230669
53	0.3907929816
54	0.3905477771
55	0.3878835118
56	0.3862757058
57	0.3858170555
58	0.3843504577
59	0.3795694372
60	0.3788178096
61	0.374224661
62	0.3729284733
63	0.3692274477
64	0.3676589582
65	0.3656716306
66	0.3640500214
67	0.3636299077
68	0.3622725758
69	0.3617140846
70	0.3594437016
71	0.3574607599
72	0.3567053894
73	0.3539395714
74	0.3517665556
75	0.3508291042
76	0.3479374575
77	0.3450423354
78	0.343216461
79	0.3407510557
80	0.3396726641
81	0.3382369872
82	0.3341795547
83	0.3319759279
84	0.3315985931
85	0.3307236838
86	0.330149503
87	0.3294508751
88	0.3283308579
89	0.3268739556
90	0.3257794391
91	0.3234237265
92	0.3218294137
93	0.3206805566
94	0.3205645319
95	0.3187548397
96	0.3172886788
97	0.3164078715
98	0.3152727855
99	0.3150034634
100	0.3123299262
101	0.3109863458
102	0.309562361
103	0.308830561
104	0.3082901641
105	0.3065151994
106	0.3056125589
107	0.3046362399
108	0.3043193672
109	0.3003209188
110	0.2997856768
111	0.298389101
112	0.2978249992
113	0.2977608179
114	0.2976381227
115	0.2975076856
116	0.296596051
117	0.296041512
118	0.2949780967
119	0.2941628419
120	0.2934608628
121	0.2910339267
122	0.2888485272
123	0.2878931695
124	0.2871102279
125	0.2865035309
126	0.2862660444
127	0.2857820188
128	0.2850843004
129	0.2850350181
130	0.2849558667
131	0.2840446246
132	0.2827997731
133	0.2821260969
134	0.2808154781
135	0.2802953089
136	0.2798228409
137	0.2797687608
138	0.2789883856
139	0.278310013
140	0.2757587927
141	0.2754333663
142	0.2749174078
143	0.2740709167
144	0.2736174776
145	0.2731597604
146	0.2729247871
147	0.2723752825
148	0.2719588361
149	0.2718962867
150	0.2712940433
151	0.2707652779
152	0.2706302135
153	0.270126684
154	0.2687384558
155	0.2682749802
156	0.2682274761
157	0.2681872862
158	0.2676653496
159	0.2671304399
160	0.2653363757
161	0.2648931269
162	0.2648477424
163	0.2641955734
164	0.2639028903
165	0.2634715044
166	0.2634226854
167	0.2631123363
168	0.2629181937
169	0.2624373116
170	0.262404933
171	0.2619215343
172	0.2618765776
173	0.2614804115
174	0.2612221719
175	0.2611739171
176	0.2609450305
177	0.2600058055
178	0.2597541599
179	0.2591462523
180	0.2591145797
181	0.2588405917
182	0.2587100722
183	0.2584485321
184	0.2584223323
185	0.2583664364
186	0.2580667761
187	0.257343282
188	0.2572680462
189	0.2567352599
190	0.2565734111
191	0.2564956871
192	0.2561670761
193	0.2560259349
194	0.2556776395
195	0.2550875911
196	0.2550622744
197	0.2550492266
198	0.2550196722
199	0.2548319777
200	0.2537226886
201	0.2531926394
202	0.2531761076
203	0.2523169224
204	0.2522598481
205	0.2522314643
206	0.2519480016
207	0.2514934359
208	0.2512573241
209	0.2506868533
210	0.2502945387
211	0.24989803
212	0.2496207161
213	0.249599881
214	0.2490471635
215	0.2488837091
216	0.2488020789
217	0.2482871929
218	0.2480482197
219	0.2480180533
220	0.247939625
221	0.2477447147
222	0.247713735
223	0.2476629101
224	0.2474843253
225	0.24746366
226	0.2470995046
227	0.2468480069
228	0.2461572113
229	0.2458282635
230	0.2456004377
231	0.2454526509
232	0.2453030654
233	0.2452868598
234	0.2452341349
235	0.2452152101
236	0.2447089259
237	0.2445377123
238	0.244082557
239	0.2439464795
240	0.2434353718
241	0.2432231115
242	0.2430503686
243	0.2424769876
244	0.2420510837
245	0.2417761531
246	0.2417448891
247	0.2416885326
248	0.2413010686
249	0.2412374844
250	0.2412230337
251	0.2411961374
252	0.2410559686
253	0.2410050161
254	0.2406885322
255	0.2404726389
256	0.2395291772
257	0.2391999642
258	0.2390450789
259	0.2389596034
260	0.2389555197
261	0.2385910729
262	0.2383843499
263	0.2379837175
264	0.2377551977
265	0.2376466073
266	0.2374706658
267	0.2374456717
268	0.2373295737
269	0.2373218017
270	0.2371234067
271	0.2369767863
272	0.2368206497
273	0.236574886
274	0.2365490615
275	0.2364300392
276	0.2362868474
277	0.2360319635
278	0.2357602143
279	0.2357466517
280	0.2356387882
281	0.2354596847
282	0.2353270714
283	0.2351933853
284	0.235159452
285	0.2347822827
286	0.2347701042
287	0.2346980048
288	0.2344851159
289	0.23419905
290	0.2338365822
291	0.2337545762
292	0.2336696335
293	0.2336633276
294	0.2336068433
295	0.2335885133
296	0.2335076585
297	0.2334977631
298	0.2333480775
299	0.2332322397
300	0.2330187515
301	0.2329243467
302	0.2328034528
303	0.2324356092
304	0.2324206556
305	0.2323168808
306	0.2323004044
307	0.2321488628
308	0.2320411019
309	0.2320285729
310	0.2319124153
311	0.2316548272
312	0.2316428569
313	0.2314291272
314	0.23124709
315	0.2312427418
316	0.2311980688
317	0.2311912295
318	0.2311850753
319	0.2309159886
320	0.2307767756
321	0.2306747874
322	0.2306350002
323	0.2302640012
324	0.2301758281
325	0.2301352717
326	0.2300586256
327	0.2300418058
328	0.2298816572
329	0.2297505366
330	0.2297083241
331	0.229631489
332	0.2295778422
333	0.2295708531
334	0.229350699
335	0.2293008826
336	0.2292963224
337	0.2291375881
338	0.2291008382
339	0.2286394142
340	0.2285593856
341	0.2285094245
342	0.2282947067
343	0.2279056995
344	0.2276508939
345	0.2276290837
346	0.2275625834
347	0.2274496728
348	0.2274104151
349	0.2272184677
350	0.2271801109
351	0.2271726243
352	0.2270058573
353	0.2268960002
354	0.2268293455
355	0.2268026248
356	0.2267890409
357	0.2267804285
358	0.2266384233
359	0.2266099381
360	0.2264779191
361	0.2264735802
362	0.2264484813
363	0.2263402983
364	0.2263337744
365	0.2262470759
366	0.2262281697
367	0.2262041831
368	0.2261259179
369	0.2261209425
370	0.2260419586
371	0.2260396849
372	0.2260082688
373	0.2259560571
374	0.2258560194
375	0.2256943473
376	0.2256133864
377	0.225440314
378	0.2254340323
379	0.225292782
380	0.2252650201
381	0.2251016711
382	0.2250810986
383	0.2249871081
384	0.2249579889
385	0.224950339
386	0.2249281585
387	0.224850152
388	0.2246345739
389	0.2245124008
390	0.2243805369
391	0.2242728354
