iter	RMSE
0	2.175372492
1	2.155863308
2	2.13866683
3	2.119856376
4	2.104263724
5	2.088299852
6	2.074914739
7	2.059799673
8	2.046445825
9	2.034577715
10	2.022714374
11	2.00661367
12	1.995363133
13	1.984344839
14	1.970241741
15	1.959435937
16	1.948673612
17	1.935728801
18	1.919908398
19	1.905688048
20	1.893830335
21	1.88387925
22	1.875555785
23	1.864796394
24	1.857533497
25	1.85124337
26	1.844912638
27	1.837730486
28	1.832500663
29	1.822737616
30	1.81128924
31	1.804886017
32	1.799500785
33	1.79230748
34	1.788414217
35	1.783580941
36	1.777435658
37	1.766401476
38	1.760530969
39	1.755552853
40	1.749618047
41	1.737611642
42	1.730965753
43	1.71949289
44	1.709773721
45	1.702146079
46	1.696533866
47	1.69352673
48	1.680735775
49	1.673002253
50	1.663552193
51	1.662371435
52	1.657900525
53	1.654297999
54	1.649079885
55	1.646386668
56	1.639939524
57	1.63617355
58	1.627218313
59	1.619019356
60	1.612611424
61	1.601073614
62	1.597336004
63	1.589086154
64	1.586529388
65	1.582314345
66	1.577027184
67	1.574617855
68	1.569673862
69	1.566989647
70	1.563652887
71	1.558671309
72	1.556885618
73	1.550035577
74	1.54391048
75	1.541324193
76	1.537642223
77	1.531358631
78	1.526201817
79	1.520430931
80	1.51376443
81	1.512297627
82	1.505353053
83	1.498499837
84	1.495214619
85	1.492495902
86	1.488595272
87	1.485716238
88	1.481525093
89	1.480027634
90	1.473582041
91	1.467750372
92	1.462836238
93	1.460148995
94	1.456891247
95	1.452910431
96	1.451774129
97	1.449023593
98	1.444772515
99	1.438187683
100	1.436229777
101	1.431948083
102	1.430329017
103	1.427920212
104	1.425374712
105	1.423323415
106	1.421886222
107	1.417935506
108	1.416517246
109	1.414235987
110	1.412707801
111	1.410107581
112	1.409636405
113	1.404940159
114	1.400074762
115	1.395799158
116	1.392447752
117	1.38692825
118	1.383099132
119	1.379845038
120	1.376966105
121	1.373648078
122	1.369125675
123	1.367272958
124	1.361721446
125	1.357604554
126	1.354115312
127	1.350745867
128	1.347526217
129	1.345327532
130	1.342117826
131	1.336658345
132	1.333719336
133	1.329266067
134	1.326344875
135	1.322919832
136	1.32106961
137	1.31711762
138	1.315673277
139	1.310758803
140	1.30915928
141	1.307412599
142	1.305702903
143	1.304198251
144	1.301055398
145	1.297711291
146	1.296707288
147	1.29301488
148	1.287253112
149	1.284150867
150	1.280709374
151	1.279066989
152	1.276632268
153	1.273198029
154	1.269154322
155	1.265063284
156	1.261349796
157	1.257473488
158	1.255142181
159	1.253879879
160	1.251240915
161	1.250548929
162	1.248424394
163	1.24647394
164	1.242247405
165	1.239588937
166	1.236348486
167	1.234965115
168	1.230870713
169	1.226448919
170	1.22358143
171	1.222431796
172	1.220320981
173	1.216963376
174	1.214925912
175	1.212011393
176	1.210323466
177	1.207257989
178	1.203592094
179	1.201504898
180	1.197881135
181	1.195471512
182	1.193314259
183	1.190483108
184	1.188095091
185	1.186183595
186	1.182427836
187	1.180935899
188	1.176792821
189	1.176220953
190	1.172900165
191	1.168535307
192	1.165033689
193	1.162563944
194	1.162144631
195	1.160330241
196	1.156052114
197	1.15393073
198	1.152064429
199	1.149717471
200	1.148350305
201	1.147143935
202	1.145163256
203	1.142309802
204	1.140014645
205	1.138543979
206	1.136955789
207	1.134441342
208	1.133945169
209	1.133538727
210	1.131569561
211	1.130776511
212	1.130557954
213	1.12664932
214	1.12640869
215	1.125403699
216	1.125175313
217	1.124941239
218	1.124351981
219	1.124043125
220	1.122494584
221	1.122285959
222	1.12188739
223	1.121570595
224	1.121328859
225	1.120648054
226	1.120454236
227	1.118292379
