iter	Passed	Remaining
0	1	1945
1	3	1985
2	6	2220
3	8	2187
4	10	2170
5	12	2128
6	14	2115
7	16	2094
8	18	2085
9	21	2133
10	23	2134
11	26	2144
12	28	2133
13	30	2120
14	32	2106
15	34	2096
16	36	2110
17	38	2107
18	40	2116
19	43	2109
20	45	2103
21	47	2098
22	49	2088
23	51	2082
24	53	2104
25	56	2106
26	58	2102
27	60	2095
28	62	2090
29	64	2084
30	66	2081
31	69	2101
32	71	2097
33	73	2091
34	75	2087
35	77	2082
36	79	2078
37	81	2074
38	84	2085
39	86	2085
40	89	2082
41	91	2078
42	93	2071
43	95	2068
44	97	2065
45	100	2083
46	102	2086
47	105	2086
48	107	2084
49	109	2079
50	111	2075
51	112	2050
52	114	2047
53	117	2058
54	119	2058
55	121	2054
56	123	2051
57	126	2048
58	128	2045
59	132	2075
60	135	2081
61	137	2085
62	140	2088
63	143	2092
64	146	2104
65	149	2121
66	152	2122
67	155	2125
68	157	2125
69	160	2127
70	162	2125
71	165	2138
72	168	2137
73	170	2136
74	172	2133
75	175	2132
76	177	2128
77	181	2141
78	183	2139
79	185	2135
80	187	2132
81	190	2131
82	192	2127
83	195	2128
84	197	2128
85	199	2125
86	202	2120
87	204	2119
88	206	2115
89	208	2109
90	211	2113
91	214	2112
92	216	2109
93	218	2108
94	221	2105
95	223	2105
96	226	2109
97	229	2114
98	232	2112
99	234	2114
100	237	2115
101	239	2112
102	242	2112
103	244	2110
104	247	2106
105	249	2106
106	252	2104
107	254	2104
108	258	2109
109	260	2110
110	263	2114
111	266	2113
112	268	2104
113	270	2103
114	274	2113
115	278	2119
116	281	2120
117	283	2120
118	286	2121
119	288	2118
120	291	2115
121	293	2112
122	295	2109
123	298	2105
124	300	2101
125	302	2099
126	305	2098
127	308	2098
128	310	2095
129	312	2094
130	315	2091
131	318	2091
132	320	2089
133	323	2087
134	325	2084
135	327	2081
136	329	2077
137	332	2075
138	334	2071
139	337	2072
140	339	2070
141	342	2067
142	344	2064
143	347	2063
144	349	2060
145	351	2056
146	354	2056
147	356	2052
148	358	2050
149	361	2049
150	364	2048
151	366	2046
152	369	2046
153	372	2044
154	374	2041
