Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
GradientBoostingRegressor,0.753637399,0.819672735,0.48079843,0.069687128
CatBoostRegressor,0.748051383,0.815584002,0.48621868,0.750551462
RandomForestRegressor,0.747996666,0.815543951,0.486271475,0.189590216
BaggingRegressor,0.737673137,0.807987554,0.496131764,0.025901318
XGBRegressor,0.736719984,0.807289885,0.497032283,1.313801765
ExtraTreesRegressor,0.727535882,0.800567501,0.505627061,0.142618895
HistGradientBoostingRegressor,0.719136057,0.794419176,0.513361913,0.242332935
LGBMRegressor,0.693190906,0.775428395,0.536549463,0.049428463
AdaBoostRegressor,0.500388846,0.634305238,0.684686418,0.048107386
MLPRegressor,0.432476212,0.58459599,0.729739216,0.329741478
DecisionTreeRegressor,0.427696193,0.581097213,0.732805918,0.007977486
KNeighborsRegressor,0.400906437,0.561488217,0.749761226,0.051486731
ExtraTreeRegressor,0.330672947,0.510080198,0.792491915,0.007965565
SVR,0.327090448,0.507457957,0.794609947,0.013177156
NuSVR,0.315102644,0.498683378,0.801656642,0.014142036
Lars,0.232195016,0.437998414,0.84879168,0.008004427
TransformedTargetRegressor,0.22798703,0.434918342,0.851114421,0.00886178
LinearRegression,0.22798703,0.434918342,0.851114421,0.008970499
Ridge,0.211137589,0.422585246,0.860352216,0.006976128
LassoLarsIC,0.198648727,0.413443913,0.867135799,0.011958838
ElasticNetCV,0.192331886,0.408820247,0.870546792,0.08672595
RidgeCV,0.176380331,0.397144366,0.879101468,0.017940044
SGDRegressor,0.164777981,0.388651924,0.885271776,0.006978989
LassoCV,0.161244919,0.386065869,0.887142188,0.136484861
LassoLarsCV,0.160225586,0.385319759,0.887681093,0.022924662
BayesianRidge,0.151569313,0.378983724,0.892244408,0.017297745
HuberRegressor,0.13886945,0.369687948,0.898897451,0.032075405
LinearSVR,0.088310205,0.332680666,0.924909409,0.011959553
OrthogonalMatchingPursuitCV,-0.023006223,0.251201631,0.979748908,0.008921146
TweedieRegressor,-0.042510833,0.23692506,0.989044743,0.013802767
LarsCV,-0.070056572,0.216762715,1.002026068,0.04391408
OrthogonalMatchingPursuit,-0.113509336,0.184957084,1.022168709,0.007022381
ElasticNet,-0.378216777,-0.008797847,1.137193626,0.007965565
DummyRegressor,-0.378216777,-0.008797847,1.137193626,0.005029202
LassoLars,-0.378216777,-0.008797847,1.137193626,0.00797224
Lasso,-0.378216777,-0.008797847,1.137193626,0.009963989
QuantileRegressor,-0.419377911,-0.0389261,1.154050123,2.970967054
PassiveAggressiveRegressor,-0.440645731,-0.054493267,1.162664063,0.00703311
KernelRidge,-2.312122205,-1.424336872,1.762904664,0.013988972
GaussianProcessRegressor,-8.783751074,-6.161302333,3.029900368,0.062436819
RANSACRegressor,-1940627908,-1420459603,42672.37227,0.159413576
