Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
XGBRegressor,0.8577116049854263,0.9336628428648271,0.26775860183826994,1.3562636375427246
RandomForestRegressor,0.8318232944426873,0.921593292679361,0.29109960199204554,0.4114208221435547
ExtraTreesRegressor,0.8115683555605571,0.9121501117140435,0.30813115395368007,0.25670790672302246
HistGradientBoostingRegressor,0.7774337169154089,0.8962359896429947,0.33487935751977316,0.6189823150634766
BaggingRegressor,0.7767782739030015,0.8959304114818047,0.3353720938189924,0.044904470443725586
LGBMRegressor,0.765324702733896,0.8905905708691813,0.3438684884472138,0.07520747184753418
DecisionTreeRegressor,0.7595270349865912,0.887887604149154,0.34809021914944305,0.010966777801513672
GradientBoostingRegressor,0.6865809581090498,0.8538789601994895,0.3973940685460113,0.13831877708435059
MLPRegressor,0.5983706076427433,0.8127538643739817,0.44985384346326257,2.0013246536254883
SVR,0.45841959944168986,0.7475064348748419,0.5223843539751463,0.029902219772338867
ExtraTreeRegressor,0.41705343528747374,0.7282208583434844,0.5419672764137996,0.009526252746582031
NuSVR,0.41111187001779703,0.725450804265054,0.5447222204772799,0.02786087989807129
KNeighborsRegressor,0.3874670905174844,0.7144272246331516,0.5555503233999074,0.05436587333679199
AdaBoostRegressor,0.24975548523118885,0.6502238410875137,0.614837156969171,0.09463882446289062
BayesianRidge,0.2455946101146631,0.6482839736345389,0.6165397508131154,0.05675387382507324
LassoLarsCV,0.2248609446890688,0.6386176025915253,0.6249546458836088,0.05642819404602051
LassoLarsIC,0.22452829798363938,0.6384625173031833,0.6250887294417375,0.05830025672912598
HuberRegressor,0.14484805068260298,0.6013142938993217,0.6564177804045427,0.05938911437988281
LinearSVR,0.1430529284983003,0.6004773788269103,0.6571063904084071,0.04991316795349121
Ridge,0.0968694720732235,0.5789459025206245,0.6745807635435507,0.019246816635131836
OrthogonalMatchingPursuit,0.07509614295980205,0.5687948234069348,0.6826639770885561,0.010014772415161133
OrthogonalMatchingPursuitCV,0.030936838334884142,0.5482070394939663,0.6987707757929448,0.04878711700439453
ElasticNetCV,0.029717621028904073,0.5476386206148269,0.6992102134145989,0.4233725070953369
TweedieRegressor,-0.01709621153848051,0.5258132527286814,0.7158791431373803,0.015999555587768555
LassoCV,-0.0500443165601554,0.5104523118739817,0.7273819261425147,0.4764707088470459
RidgeCV,-0.1660350319628856,0.4563755594227088,0.7665041145710082,0.041498661041259766
LinearRegression,-0.19656336435928012,0.4421427558054708,0.7764733278503124,0.019989490509033203
TransformedTargetRegressor,-0.19656336435928012,0.4421427558054708,0.7764733278503124,0.043851613998413086
QuantileRegressor,-1.1449322969249218,-2.21951229462114e-06,1.0395981202449556,6.085433721542358
Lasso,-1.1629348969116133,-0.008395323560143941,1.043951722206915,0.012959480285644531
DummyRegressor,-1.1629348969116133,-0.008395323560143941,1.043951722206915,0.007973194122314453
ElasticNet,-1.1629348969116133,-0.008395323560143941,1.043951722206915,0.012019157409667969
LassoLars,-1.1629348969116133,-0.008395323560143941,1.043951722206915,0.009960412979125977
PassiveAggressiveRegressor,-1.8475699387504907,-0.3275832822552962,1.1978319447845778,0.011028528213500977
KernelRidge,-5.547637323753911,-2.0526146982366202,1.816356109718402,0.017440080642700195
GaussianProcessRegressor,-9.658685565190202,-3.9692520540413776,2.3174507669457562,0.1107327938079834
SGDRegressor,-8.524353565983638e+22,-3.974191865222101e+22,207247556411.39102,0.010958671569824219
RANSACRegressor,-4.702340048576025e+26,-2.1923071848090925e+26,15392731970239.713,0.24052047729492188
LarsCV,-1.130366515718599e+42,-5.2699519989583324e+41,7.546895445703885e+20,0.06282305717468262
Lars,-1.1303669187208506e+42,-5.269953877820182e+41,7.546896791026639e+20,0.015140533447265625
