Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
XGBRegressor,0.855405261009092,0.9286796219842143,0.27763347040746045,1.300882339477539
RandomForestRegressor,0.8368595852443623,0.9195320927218814,0.29490107589677034,0.34496212005615234
ExtraTreesRegressor,0.8318958616764589,0.9170837696106858,0.2993538020254802,0.23687481880187988
BaggingRegressor,0.8162997906777891,0.9093911129694501,0.3129323067886269,0.042676687240600586
HistGradientBoostingRegressor,0.7894661421303465,0.8961555971318601,0.33500905846282025,0.6147687435150146
DecisionTreeRegressor,0.7889426218595457,0.8958973742955867,0.33542532200644165,0.00996541976928711
LGBMRegressor,0.7793696366073877,0.8911755640022926,0.3429479539004777,0.05971074104309082
GradientBoostingRegressor,0.7472857460006177,0.875350401743548,0.3670375059431645,0.12769007682800293
SVR,0.5188156866420269,0.7626590886815403,0.5064671786742643,0.026793241500854492
KNeighborsRegressor,0.4744436751550887,0.7407728938264965,0.5293040407721256,0.049735069274902344
NuSVR,0.47153620736607826,0.7393388049846197,0.5307661218386135,0.03380894660949707
MLPRegressor,0.4316901163960819,0.7196849898440134,0.5504123633773015,0.43857550621032715
ExtraTreeRegressor,0.36830053020681175,0.6884185047641707,0.5802976771499834,0.00901341438293457
AdaBoostRegressor,0.3061493959269782,0.6577628777207393,0.6081749965178479,0.0853414535522461
BayesianRidge,0.2397637280175472,0.6250185955762226,0.6366047419163018,0.02192997932434082
LassoCV,0.2137463368030441,0.6121856931528529,0.6474062934748775,0.4185011386871338
ElasticNetCV,0.20267528632901288,0.606724972310932,0.6519483473450214,0.4208831787109375
Ridge,0.1779930240786326,0.5945506132279742,0.6619624086650958,0.009709596633911133
HuberRegressor,0.16852073693906888,0.5898784715983245,0.6657655014568908,0.05197906494140625
LinearSVR,0.14825146902954933,0.5798807921564669,0.6738314429350667,0.04675698280334473
RidgeCV,0.040802267951444815,0.5268821997328073,0.7150717939020735,0.019021272659301758
TweedieRegressor,-0.01772598992921104,0.4980135319943757,0.7365648819138092,0.012812137603759766
LinearRegression,-0.07907851677126954,0.46775181267363064,0.758441518584194,0.013953685760498047
TransformedTargetRegressor,-0.07907851677126954,0.46775181267363064,0.758441518584194,0.016945600509643555
LassoLarsCV,-0.1478277634521834,0.4338417112702069,0.7822290464662398,0.050267696380615234
LassoLarsIC,-0.14786012252111247,0.4338257503781,0.7822400725217351,0.02878570556640625
OrthogonalMatchingPursuit,-0.24422626975689066,0.38629379937666886,0.8144140534720753,0.009015560150146484
LarsCV,-0.44801898901166437,0.28577441758208455,0.8785828155664848,0.046669721603393555
OrthogonalMatchingPursuitCV,-0.5165430132085034,0.25197540564715715,0.8991309396145324,0.015944957733154297
QuantileRegressor,-1.0274017600985847,-2.2195080857656535e-06,1.039598120242768,5.613114595413208
ElasticNet,-1.0444179162589222,-0.008395323560143941,1.043951722206915,0.008640289306640625
DummyRegressor,-1.0444179162589222,-0.008395323560143941,1.043951722206915,0.006977558135986328
LassoLars,-1.0444179162589222,-0.008395323560143941,1.043951722206915,0.008023500442504883
Lasso,-1.0444179162589222,-0.008395323560143941,1.043951722206915,0.007974863052368164
PassiveAggressiveRegressor,-5.109916328876723,-2.0136749460000054,1.8047340298599408,0.009081602096557617
KernelRidge,-5.195086873766245,-2.055684741790107,1.8172692434723514,0.014921188354492188
GaussianProcessRegressor,-17.404441907718823,-8.077866616645094,3.1322534930229295,0.04543709754943848
SGDRegressor,-7.682349614408374e+22,-3.789267039539266e+22,202368358855.96936,0.007982492446899414
RANSACRegressor,-3.625367542536874e+25,-1.7881880446296744e+25,4396140835281.418,0.17541193962097168
Lars,-1.3947959477222633e+29,-6.879736769170622e+28,272678511397344.56,0.014949798583984375
