np_size_max__nm_,np_synthesis,np_size_min__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,np_size_avg__nm_,Solvent_for_extract,amw,time_set__hours_,bacteria,Valance_electron,Order,avg_Incub_period__h,prim_specific_habitat,Genus,sec_habitat,coating,shape,mdr,max_Incub_period__h,min_Incub_period__h,common_environment,MIC_NP___g_mL_
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,4.0943445622221
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.941642422609304
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,4.0943445622221
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.393627546352362
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Bacillus subtilis,11,Bacillales,12,soil,Bacillus,plants,0,spherical,0,18,6.0,nature,4.0943445622221
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,3.6888794541139363
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,4.941642422609304
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,18,6.0,human,4.0943445622221
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,12,guts,Escherichia,"clinical samples (blood, stool, urine)",0,spherical,0,24,6.0,human,5.393627546352362
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.075173815233827
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Escherichia coli,11,Enterobacterales,4,guts,Escherichia,mouth,0,spherical,0,24,1.5,human,5.19295685089021
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MIC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,4.787491742782046
10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,MBC,48.07498601007275,1139.4714854111403,3.32,water,107.868,24.0,Staphylococcus aureus,11,Bacillales,8,skin,Staphylococcus,nasopharynx,0,spherical,0,24,4.0,human,5.075173815233827
