,Unnamed: 0,np_size_max__nm_,np_synthesis,np_size_min__nm_,np_size_avg__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,Solvent_for_extract,time_set__hours_,shape,coating,Valance_electron,prim_specific_habitat,chi0v,amw,min_Incub_period__h,K00058,max_Incub_period__h,K12472,mdr,K07009,K17939,K14198,K07486,MIC_NP___g_mL_
0,0,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688879454113936
1,1,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221
2,2,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688879454113936
3,3,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19295685089021
4,4,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787491742782046
5,5,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941642422609304
6,6,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0943445622221
7,7,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362
8,8,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827
9,9,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19295685089021
10,10,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,4.787491742782046
11,11,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.787491742782046
12,12,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.787491742782046
13,13,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827
14,14,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827
15,15,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827
16,16,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995732273553991
17,17,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.688879454113936
18,18,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941642422609304
19,19,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362
20,20,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298317366548036
21,21,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.634789603169249
22,22,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827
23,23,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528
24,24,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362
