,np_size_max__nm_,np_synthesis,np_size_min__nm_,np_size_avg__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,Solvent_for_extract,time_set__hours_,shape,coating,Valance_electron,prim_specific_habitat,chi0v,amw,min_Incub_period__h,K00058,max_Incub_period__h,K12472,mdr,K07009,K17939,K14198,K07486,MIC_NP___g_mL_,bacteria,strain,bacteria_strain
0,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,6.0,1,18,0,0,0,0,0,0,40.0,Bacillus subtilis,MTCC 441,Bacillus subtilis MTCC 441
1,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,soil,1.7837651700316897,107.868,6.0,1,18,0,0,0,0,0,0,60.0,Bacillus subtilis,MTCC 441,Bacillus subtilis MTCC 441
2,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,6.0,1,18,0,0,0,0,0,0,40.0,Escherichia coli,MTCC 443,Escherichia coli MTCC 443
3,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,6.0,1,24,0,0,0,0,0,0,180.0,Escherichia coli,MTCC 739,Escherichia coli MTCC 739
4,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,0,120.0,Escherichia coli,MTCC 1302,Escherichia coli MTCC 1302
5,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,0,140.0,Escherichia coli,MTCC 1687,Escherichia coli MTCC 1687
6,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,6.0,1,18,0,0,0,0,0,0,60.0,Escherichia coli,MTCC 443,Escherichia coli MTCC 443
7,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,6.0,1,24,0,0,0,0,0,0,220.0,Escherichia coli,MTCC 739,Escherichia coli MTCC 739
8,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,0,160.0,Escherichia coli,MTCC 1302,Escherichia coli MTCC 1302
9,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,guts,1.7837651700316897,107.868,1.5,1,24,0,0,0,0,0,0,180.0,Escherichia coli,MTCC 1687,Escherichia coli MTCC 1687
10,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,0,0,0,0,120.0,Staphylococcus aureus,NCIM 2079,Staphylococcus aureus NCIM 2079
11,10.34,chemical_synthesis using sodium borohydride and silver ions,2.26,3.32,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0,11,skin,1.7837651700316897,107.868,4.0,1,24,1,0,1,0,1,0,120.0,Staphylococcus aureus,NCIM 5021,Staphylococcus aureus NCIM 5021
