NP,Bacteria,ATCC(species),NP_Synthesis,Drug,Drug_dose (μg/disk),NP_concentration (μg/disk),NP size_min (nm),NP size_max (nm),NP size_avg (nm),shape,method,ZOI_drug (mm),ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),Zeta_potential (mV),MDR,FIC,Effect,ChEBI ID,reference,doi,time (hr),Coat with antimicrobial peptide,combined MIC,peptide MIC,synergy index( Vantibiotic+AgNPs/(Vantibiotic + VAgNPs - Vantibiotic X VAgNPs).)
Ag,Escherichia coli,,green_synthesis from fungus Trichoderma viride,Erythromycin,10,,5,40,18,spherical,disc_diffusion,13,,16,0.2308,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,10.1016/j.nano.2009.04.006,,,,,
Ag,Salmonella typhi,,green_synthesis from fungus Trichoderma viride,Erythromycin,10,,5,40,18,spherical,disc_diffusion,24,,31,0.2917,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus Trichoderma viride,Erythromycin,10,,5,40,18,spherical,disc_diffusion,9,,10,0.1111,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus Trichoderma viride,Erythromycin,10,,5,40,18,spherical,disc_diffusion,8,,9,0.125,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus Trichoderma viride,Kanamycin,10,,5,40,18,spherical,disc_diffusion,12,,16,0.3333,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Salmonella typhi,,green_synthesis from fungus Trichoderma viride,Kanamycin,10,,5,40,18,spherical,disc_diffusion,13,,19,0.4615,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus Trichoderma viride,Kanamycin,10,,5,40,18,spherical,disc_diffusion,9,,11,0.2222,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus Trichoderma viride,Kanamycin,10,,5,40,18,spherical,disc_diffusion,10,,11,0.1,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus Trichoderma viride,Chloramphenicol,10,,5,40,18,spherical,disc_diffusion,22,,28,0.2727,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Salmonella typhi,,green_synthesis from fungus Trichoderma viride,Chloramphenicol,10,,5,40,18,spherical,disc_diffusion,29,,36,0.2424,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus Trichoderma viride,Chloramphenicol,10,,5,40,18,spherical,disc_diffusion,9,,10,0.1111,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus Trichoderma viride,Chloramphenicol,10,,5,40,18,spherical,disc_diffusion,10,,11,0.1,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus Trichoderma viride,Ampicillin,10,,5,40,18,spherical,disc_diffusion,12,,21,0.75,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Salmonella typhi,,green_synthesis from fungus Trichoderma viride,Ampicillin,10,,5,40,18,spherical,disc_diffusion,11,,20,0.8182,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus Trichoderma viride,Ampicillin,10,,5,40,18,spherical,disc_diffusion,11,,19,0.7273,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus Trichoderma viride,Ampicillin,10,,5,40,18,spherical,disc_diffusion,10,,17,0.7,-28,,,,,https://www.sciencedirect.com/science/article/pii/S1549963409000914,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,20,15,22 ±2,0.21,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,23,16,25 ±2,0.18,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,18,14,20 ± 0.6,0.23,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,12,14,20 ± 0.6,1.78,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Enterococcus faecalis,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,16,15,20 ± 0.6,0.56,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Acinetobacter baumannii,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,0,15,14 ±0.6,4.44,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,21,14,24 ± 1.2,0.31,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Bacillus spp.,,green_synthesis from fungus  Aspergillus flavus,Imipenem,,100,5,30,21,spherical,disc_diffusion,21,15,25 ± 0.6,0.42,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,15,13± 1,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,16,15±2,5.25,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,14,13± 1,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,14,13 ± 0.6,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Enterococcus faecalis,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,15,16 ±0.6,6.11,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Acinetobacter baumannii,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,15,13 ± 0.6,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,14,12± 1,3,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Bacillus spp.,,green_synthesis from fungus  Aspergillus flavus,Trimethoprim,2.5,100,5,30,21,spherical,disc_diffusion,0,15,13 ± 0.6,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,9,15,12± 1,0.78,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,15,16,21 ±2,0.96,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,0,14,17±2,7.02,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,14,14,18± 1,0.65,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Enterococcus faecalis,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,8,15,15 ±0.6,2.51,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Acinetobacter baumannii,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,0,15,16± 1,6.1,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,22,14,25 ± 1,0.29,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Bacillus spp.,,green_synthesis from fungus  Aspergillus flavus,Gentamicin,10,100,5,30,21,spherical,disc_diffusion,21,15,24 ± 0.6,0.31,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,0,15,13±2,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,0,16,14±2,4.44,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,0,14,17±2,7.02,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,0,14,17± 1,7.02,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Enterococcus faecalis,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,0,15,13 ±0.6,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Acinetobacter baumannii,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,0,15,13 ± 0.6,3.69,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,16,14,18 ±0.6,0.27,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Bacillus spp.,,green_synthesis from fungus  Aspergillus flavus,Vancomycin,30,100,5,30,21,spherical,disc_diffusion,16,15,19± 1,0.41,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,0,15,14±2,4.44,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,28,16,29 ± 1,0.07,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Micrococcus luteus,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,19,14,21 ± 1,0.22,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,0,14,15 ± 1.5,5.25,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Enterococcus faecalis,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,0,15,14± 1,4.44,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Acinetobacter baumannii,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,8,15,18 ±0.6,4.06,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Klebsiella pneumoniae,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,22,14,35 ± 1,1.53,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Bacillus spp.,,green_synthesis from fungus  Aspergillus flavus,Ciprofloxacin,10,100,5,30,21,spherical,disc_diffusion,23,15,38 ± 0.6,1.73,,,,,,https://www.tandfonline.com/doi/full/10.2147/IJN.S49284#,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Cefazolin,,,5,80,60,spherical,MIC,0.625,5,0.6,,-13.7,,,,,https://www.nature.com/articles/srep29982,10.1038/srep29982,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Cefazolin,,,5,80,60,spherical,MIC,0.625,2.5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Cefazolin,,,5,80,60,spherical,MIC,0.3125,2.5,0.5,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Mupirocin,,,5,80,60,spherical,MIC,0.625,5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Mupirocin,,,5,80,60,spherical,MIC,0.3125,2.5,0.1,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Mupirocin,,,5,80,60,spherical,MIC,0,2.5,1.75,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Gentamicin,,,5,80,60,spherical,MIC,1.25,5,0.6,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Gentamicin,,,5,80,60,spherical,MIC,0.625,2.5,0.4,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Gentamicin,,,5,80,60,spherical,MIC,0.3125,2.5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Neomycin,,,5,80,60,spherical,MIC,0.625,5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Neomycin,,,5,80,60,spherical,MIC,0,2.5,1.75,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Neomycin,,,5,80,60,spherical,MIC,2.5,2.5,0,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Tetracycline,,,5,80,60,spherical,MIC,1.25,5,0.6,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Tetracycline,,,5,80,60,spherical,MIC,1.25,2.5,0.8,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Tetracycline,,,5,80,60,spherical,MIC,0.625,2.5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Vancomycin,,,5,80,60,spherical,MIC,0.625,5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Vancomycin,,,5,80,60,spherical,MIC,0.3125,2.5,0.3,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Vancomycin,,,5,80,60,spherical,MIC,0.625,2.5,0.6,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Cefazolin,,,5,80,60,spherical,disc_diffusion,25,13,29,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Mupirocin,,,5,80,60,spherical,disc_diffusion,31,14,32,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Gentamicin,,,5,80,60,spherical,disc_diffusion,23,13,26,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Neomycin,,,5,80,60,spherical,disc_diffusion,20,13.5,27,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Tetracycline,,,5,80,60,spherical,disc_diffusion,18,17,28,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Staphylococcus aureus,,green_synthesis from fungus  Phytophthora infestans,Vancomycin,,,5,80,60,spherical,disc_diffusion,21,14,31,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Cefazolin,,,5,80,60,spherical,disc_diffusion,23,12,30,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Mupirocin,,,5,80,60,spherical,disc_diffusion,22,13,34,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Gentamicin,,,5,80,60,spherical,disc_diffusion,21,14,31,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Neomycin,,,5,80,60,spherical,disc_diffusion,0,18,20,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Tetracycline,,,5,80,60,spherical,disc_diffusion,20,13,27,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Pseudomonas aeruginosa,,green_synthesis from fungus  Phytophthora infestans,Vancomycin,,,5,80,60,spherical,disc_diffusion,24,14,30,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
Ag,Escherichia coli,,green_synthesis from fungus  Phytophthora infestans,Cefazolin,,,5,80,60,spherical,disc_diffusion,22,20,28,,-13.7,,,,,https://www.nature.com/articles/srep29982,,,,,,
