,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
0,Green synthesis using Bacillus megaterium,lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,19.71,16.18,23.3,42.82,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.64,-0.64,1.75,2.4
1,"Chemical synthesis, purchased from Sigma-Aldrich",commercial,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,136.84,133.67,139.59,42.24,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.31,0.31,1.02,0.71
2,Chemical synthesis,lab,MIC,water,none,none,spherical,,107.868,1.78376517,medium,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,105.81,37.13,165.31,20.39,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.28,0.28,1.99,1.7
3,Chemical synthesis using sodium borohydride and trisodium citrate,lab,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,83.98,8.76,168.74,1.94,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.09,-0.09,3.31,3.4
4,Chemical synthesis using sodium borohydride and trisodium citrate,lab,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,93.64,67.92,124.11,13.3,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.15,0.15,3.93,3.78
5,Green synthesis using Lactobacillus paracasei,lab,MIC,dpph,none,none,spherical,protein,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,55.78,7.51,107.91,13.56,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.11,-0.11,1.57,1.68
6,Green synthesis using Agrimonia eupatoria L.,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,154.74,8.37,333.98,27.29,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.23,-0.23,0.15,0.38
7,green_synthesis using Aloe vera leaves,lab,MIC,water,none,none,spherical,mixed,81.389,4.082482905,weak,bio,0,8,1,1,-0.1213,0.423376623,2.423376623,1,20.01,8.03,31.38,39.17,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.66,-0.66,2.41,3.07
8,Biosynthesis using silver tolerant bacteria (AgTB),lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,12.39,9.88,14.58,32.01,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.74,0.74,3.99,3.25
9,Chemical synthesis using gum kondagogu,lab,MIC,water,none,polymer,spherical,,107.868,1.78376517,medium,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,155.73,41.15,266.58,28.56,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.39,-0.39,1.23,1.61
10,"Chemical synthesis, purchased from Sigma-Aldrich",commercial,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,136.0,70.86,192.84,5.88,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.38,0.38,0.41,0.03
11,Green synthesis using Commiphora gileadensis,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.29,1.18,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.69,-0.69,2.31,3.0
12,Green synthesis using Spondias pinnata bark,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.05,1.36,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.69,-0.69,2.31,3.0
13,Green synthesis using Syzygium cumini flowers,lab,MIC,ethanol,none,none,oval,phenolic,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.31,1.32,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.96,-0.96,2.44,3.4
14,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,3.72,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.33,-0.33,1.99,2.32
15,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.54,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.47,-1.47,3.65,5.12
16,Green synthesis using Petroselinum crispum,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.79,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.47,-0.47,3.41,3.89
17,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,144.07,180.81,2.4,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.1,0.1,2.92,2.82
18,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.39,3.28
19,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.2,1.55,38.31,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.94,-0.94,3.24,4.18
20,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.47,-1.47,3.66,5.13
21,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,87.26,0.87,152.05,21.68,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.11,0.11,0.94,0.83
22,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.68,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.85,-0.85,2.54,3.39
23,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.4,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.39,3.28
24,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,48.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.67,-0.67,3.15,3.81
25,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,5.1,5.05,5.15,43.94,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-1.05,-1.05,2.93,3.98
26,Biosynthesis using Candida glabrata,lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.71,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.75,-0.75,2.45,3.2
27,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,36.46,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.94,-0.94,3.24,4.18
28,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,319.34,27.39,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.47,-0.47,0.69,1.16
29,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.45,1.09,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.39,3.28
30,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.47,3.99,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.8,-0.8,2.62,3.42
31,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,109.35,1.09,190.54,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.33,-0.33,0.42,0.75
32,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,84.68,0.85,163.68,19.08,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.11,0.11,1.04,0.93
33,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.21,1.39,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,-0.89,-0.89,2.39,3.28
34,Green synthesis using Azmak leaf,lab,MIC,methanol,none,none,spherical,phenolic,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,158.78,157.19,159.97,0.0,Bacillus subtilis nan,Pseudomonas aeruginosa nan,0.68,0.68,5.35,4.66
