,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
0,Chemical_synthesis using titanyl nitrate,lab,MBEC,water,none,none,spherical,,79.865,2.878049394,medium,chemical,0,16,0,2,-0.2401,0.314285714,3.314285714,2,111.75,47.43,172.33,0.39,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.32,0.32,6.23,5.91
1,green_synthesis using Phlomis Leaf Extract,lab,MIC,water,none,none,hexagonal,phenolic,81.389,4.082482905,weak,bio,0,8,1,1,-0.1213,0.423376623,2.423376623,1,73.83,51.42,100.12,45.64,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.37,-0.37,2.02,2.39
2,Green synthesis using Sambucus ebulus,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,72.42,70.72,74.21,38.88,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.09,0.09,1.15,1.06
3,Green synthesis using Murraya koenigii,lab,MIC,water,none,none,spheroidal,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,109.57,27.29,178.29,6.54,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.84,0.84,3.1,2.26
4,Chemical synthesis using sodium borohydride,lab,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,142.36,41.15,219.56,37.71,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.19,-0.19,0.82,1.01
5,Green synthesis using Gloeophyllum striatum,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,82.81,79.02,86.48,16.94,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.8,0.8,3.93,3.12
6,Chemical synthesis using NDs,lab,MIC,sodium dodecyl sulfate,none,none,quasi-spherical,,107.868,1.78376517,strong,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,43.79,42.98,44.58,6.4,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.37,-0.37,1.92,2.29
7,Green synthesis using Astragalus sarcocolla,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,33.94,17.03,46.67,8.33,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.2,0.2,2.51,2.31
8,green_synthesis using C. zylinicum aqueous extracts,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,106.81,102.14,112.41,3.96,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.73,0.73,4.69,3.96
9,Biosynthesis using Agrimonia eupatoria,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,54.1,37.36,68.27,33.44,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.07,0.07,2.34,2.27
10,Biosynthesis using silver tolerant bacteria (AgTB),lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,97.41,55.81,133.46,26.31,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.19,-0.19,1.18,1.37
11,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.56,0.98,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.18,-0.18,3.11,3.29
12,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,157.77,168.42,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.83,0.83,4.38,3.55
13,Green synthesis using Medicago sativa,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,7.45,0.07,14.45,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.15,0.15,3.77,3.62
14,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.15,1.3,16.15,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.18,0.18,2.67,2.5
15,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.77,18.9,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.21,-0.21,3.38,3.6
16,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,3.11,3.28
17,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.18,-0.18,3.11,3.29
18,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,25.46,0.25,44.37,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.41,-0.41,1.75,2.16
19,green_synthesis,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,162.35,1.62,282.9,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.53,0.53,1.84,1.31
20,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,0.22,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.18,-0.18,3.11,3.29
21,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,48.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.93,-0.93,0.27,1.2
22,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,78.57,0.79,136.9,48.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.8,-0.8,0.62,1.42
23,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,25.22,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.53,-0.53,0.3,0.83
24,Green synthesis using Spirogyra varians,lab,MIC,water,none,none,quasi-spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.79,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.76,-0.76,2.14,2.89
25,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,318.62,46.86,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.88,-0.88,0.45,1.33
26,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.28,0.28,1.37,1.09
27,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.79,0.81,34.86,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.73,-0.73,3.45,4.18
