,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,78.19,30.6,128.35,12.95,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.76,1.76,1.72,-0.04
1,Green synthesis using Curcuma longa,lab,MIC,ethanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,5.26,0.24,10.18,23.82,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.52,-0.52,2.84,3.36
2,"Chemical synthesis, purchased from Sigma-Aldrich",commercial,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,133.93,58.36,228.03,3.66,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,3.51,3.51,0.32,-3.19
3,Biosynthesis using silver tolerant bacteria (AgTB),lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,152.1,118.49,183.89,47.23,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.04,1.04,2.04,1.0
4,chemical_synthesis by aqueous zinc sulfate heptahydrate,lab,MIC,water,none,none,spherical,,81.389,4.082482905,medium,chemical,0,8,1,1,-0.1213,0.423376623,2.423376623,1,61.56,51.31,72.49,27.63,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.54,1.54,2.68,1.14
5,Biosynthesis using silver tolerant bacteria (AgTB),lab,MIC,water,none,none,spherical,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,19.38,6.74,32.98,42.36,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.28,-0.28,0.99,1.27
6,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,126.68,95.65,159.6,24.05,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,2.25,2.25,1.64,-0.61
7,Green synthesis using Pisum sativum L.,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,129.8,31.09,226.01,3.61,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.32,1.32,1.7,0.38
8,Chemical synthesis using PVA coating,lab,MIC,water,none,polymer,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,53.49,40.65,68.35,18.19,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.27,1.27,2.85,1.58
9,"Chemical synthesis, purchased from Sigma-Aldrich",commercial,MIC,water,none,none,spherical,,107.868,1.78376517,strong,chemical,0,11,0,0,-0.0025,0.74025974,1.74025974,0,31.32,4.33,61.69,36.01,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.21,1.21,1.82,0.61
10,Green synthesis using onion peel,lab,MIC,water,none,none,spherical,phenolic,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,102.27,18.33,166.14,14.32,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.35,0.35,2.95,2.6
11,green_synthesis using Aloe-vera leaf extract. 10 mmol/kg Cu(CH3COO)2*H2O,lab,MIC,water,none,none,spheroidal,phenolic,79.545,1.651411411,weak,bio,0,17,1,1,-0.1213,0.319480519,2.319480519,1,118.17,104.83,128.18,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.96,0.96,6.55,5.59
12,Green synthesis using Kalmia angustifolia,lab,MIC,ethanol,none,none,oval,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,5.31,3.28,6.96,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,3.11,3.45
13,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.26,1.21,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,2.39,2.74
14,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.35,-0.35,2.39,2.74
15,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.68,46.4,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.09,1.09,3.6,2.51
16,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,90.19,0.9,157.16,12.7,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.24,0.24,1.31,1.07
17,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,56.06,0.56,125.44,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.37,-0.37,2.02,2.39
18,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.63,14.25,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.5,0.5,2.01,1.51
19,Green synthesis using Azmak leaf,lab,MIC,methanol,none,none,spherical,phenolic,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,20.55,14.66,24.97,48.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.76,-0.76,4.56,5.32
20,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,284.82,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.4,0.4,0.16,-0.24
21,Green synthesis using Medicago sativa,lab,MIC,methanol,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,39.67,23.46,51.83,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.55,0.55,5.99,5.44
22,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,6.61,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.29,-0.29,2.64,2.93
23,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.59,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,0.51,0.51,1.76,1.24
24,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.01,1.39,20.65,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,-0.54,-0.54,2.66,3.2
25,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.95,0.0,Bacillus subtilis nan,Staphylococcus aureus ATCC 29213,1.06,1.06,4.04,2.98
