;np_size_min__nm_;np_size_avg__nm_;np_size_max__nm_;Source_origin;method;Capping_type;time_set__hours_;Solvent_for_extract;shape;Template_type;Bio_component_class;chi0v;Red_env_strength;Red_env_type;coating;Valance_electron;Solvent_polar;mdr;prim_specific_habitat;lipinskiHBA;CrippenClogP;max_Incub_period__h;hallKierAlpha;amw;avg_Incub_period__h;K07123;kappa1;K03629;min_Incub_period__h;K07050;K20345;NumHBA;sec_habitat;bac_type;K23945;common_environment;K01191;K13566;K07484;K25602;K11206;K07486;K12942;K01153;K02027;K00849;K01878;K00432;K01026;K10844;K03741;K00252;K01190;K03703;K09936;K07485;K07778;K16148;MIC_NP___g_mL_;bacteria_strain;np_synthesis
693;3.91;6.835;27.07;lab;MIC;none;24;water;spherical;none;mixed;1.78376517;weak;bio;0;11;1;1;soil;0;-0.0025;12;0.74025974;107.868;8;0;1.74025974;1;6;0;0;0;plants;non-pathogenic;0;nature;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;1;0;-0.85566611;Bacillus subtilis ATCC 11773;Green synthesis using Solanum tuberosum
899;10;8.29;20;lab;MIC;none;30;water;spherical;none;mixed;1.78376517;weak;bio;0;11;1;0;soil;0;-0.0025;12;0.74025974;107.868;8;0;1.74025974;1;6;1;0;0;plants;non-pathogenic;0;nature;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;2.772588722;Bacillus subtilis ATCC 14579;Green synthesis using Areca catechu L. nut
2;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;18;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;3.688879454;Escherichia coli MTCC 443;chemical_synthesis using sodium borohydride and silver ions
3;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.192956851;Escherichia coli MTCC 739;chemical_synthesis using sodium borohydride and silver ions
4;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;4;0;1.74025974;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;4.787491743;Escherichia coli MTCC 1302;chemical_synthesis using sodium borohydride and silver ions
5;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;4;0;1.74025974;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;4.941642423;Escherichia coli MTCC 1687;chemical_synthesis using sodium borohydride and silver ions
6;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;18;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;4.094344562;Escherichia coli MTCC 443;chemical_synthesis using sodium borohydride and silver ions
7;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.393627546;Escherichia coli MTCC 739;chemical_synthesis using sodium borohydride and silver ions
8;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;4;0;1.74025974;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.075173815;Escherichia coli MTCC 1302;chemical_synthesis using sodium borohydride and silver ions
9;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;4;0;1.74025974;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.192956851;Escherichia coli MTCC 1687;chemical_synthesis using sodium borohydride and silver ions
10;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;8;0;1.74025974;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;4.787491743;Staphylococcus aureus NCIM 2079;chemical_synthesis using sodium borohydride and silver ions
11;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;8;0;1.74025974;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;4.787491743;Staphylococcus aureus NCIM 5021;chemical_synthesis using sodium borohydride and silver ions
12;2.26;3.32;10.34;lab;MIC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;8;0;1.74025974;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;4.787491743;Staphylococcus aureus NCIM 5022;chemical_synthesis using sodium borohydride and silver ions
13;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;8;0;1.74025974;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;5.075173815;Staphylococcus aureus NCIM 2079;chemical_synthesis using sodium borohydride and silver ions
14;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;8;0;1.74025974;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;5.075173815;Staphylococcus aureus NCIM 5021;chemical_synthesis using sodium borohydride and silver ions
15;2.26;3.32;10.34;lab;MBC;none;24;water;spherical;none;;1.78376517;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;8;0;1.74025974;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;5.075173815;Staphylococcus aureus NCIM 5022;chemical_synthesis using sodium borohydride and silver ions
905;10;8.29;20;lab;MBC;none;30;water;spherical;none;mixed;1.78376517;weak;bio;0;11;1;0;soil;0;-0.0025;12;0.74025974;107.868;8;0;1.74025974;1;6;1;0;0;plants;non-pathogenic;0;nature;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;4.158883083;Bacillus subtilis ATCC 14579;Green synthesis using Areca catechu L. nut
166;8;14;20;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;1;11;0;0;soil;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;plants;non-pathogenic;0;nature;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;0;1.832581464;Bacillus subtilis ATCC 6633;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
18;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;18;0.519480519;63.546;12;0;1.519480519;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;4.941642423;Escherichia coli MTCC 443;chemical_synthesis using sodium borohydride and copper ions
19;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.519480519;63.546;12;0;1.519480519;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.393627546;Escherichia coli MTCC 739;chemical_synthesis using sodium borohydride and copper ions
20;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.519480519;63.546;4;0;1.519480519;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.298317367;Escherichia coli MTCC 1302;chemical_synthesis using sodium borohydride and copper ions
21;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.519480519;63.546;4;0;1.519480519;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.634789603;Escherichia coli MTCC 1687;chemical_synthesis using sodium borohydride and copper ions
22;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;18;0.519480519;63.546;12;0;1.519480519;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.075173815;Escherichia coli MTCC 443;chemical_synthesis using sodium borohydride and copper ions
23;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.519480519;63.546;12;0;1.519480519;1;6;0;0;0;clinical samples (blood, stool, urine);pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.560681631;Escherichia coli MTCC 739;chemical_synthesis using sodium borohydride and copper ions
24;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.519480519;63.546;4;0;1.519480519;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.393627546;Escherichia coli MTCC 1302;chemical_synthesis using sodium borohydride and copper ions
25;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;guts;0;-0.0025;24;0.519480519;63.546;4;0;1.519480519;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;5.703782475;Escherichia coli MTCC 1687;chemical_synthesis using sodium borohydride and copper ions
26;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.519480519;63.546;8;0;1.519480519;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;4.941642423;Staphylococcus aureus NCIM 2079;chemical_synthesis using sodium borohydride and copper ions
27;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.519480519;63.546;8;0;1.519480519;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;4.941642423;Staphylococcus aureus NCIM 5021;chemical_synthesis using sodium borohydride and copper ions
28;6.86;9.25;16.53;lab;MIC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.519480519;63.546;8;0;1.519480519;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;4.941642423;Staphylococcus aureus NCIM 5022;chemical_synthesis using sodium borohydride and copper ions
29;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.519480519;63.546;8;0;1.519480519;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;5.075173815;Staphylococcus aureus NCIM 2079;chemical_synthesis using sodium borohydride and copper ions
30;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.519480519;63.546;8;0;1.519480519;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;5.075173815;Staphylococcus aureus NCIM 5021;chemical_synthesis using sodium borohydride and copper ions
31;6.86;9.25;16.53;lab;MBC;none;24;water;spherical;none;;1.243163121;strong;chemical;0;11;0;0;skin;0;-0.0025;24;0.519480519;63.546;8;0;1.519480519;1;4;0;0;0;nasopharynx;pathogenic;0;human;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;5.075173815;Staphylococcus aureus NCIM 5022;chemical_synthesis using sodium borohydride and copper ions
32;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;lungs;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;3;0;0;0;clinical samples (blood, wound swabs);opportunistic pathogen;0;nosocomial;0;1;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;4.852030264;Klebsiella pneumoniae ATCC 13883;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
33;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;clinical samples (sputum, urine);0;-0.0025;12;0.74025974;107.868;8;0;1.74025974;0;4;0;0;0;clinical samples (wound swabs);opportunistic pathogen;0;nosocomial;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;2.772588722;Pseudomonas aeruginosa ATCC 27853;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
34;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;medical surfaces;non-pathogenic;0;human;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;5.545177444;Staphylococcus epidermidis ATCC 12228;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
35;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;soil;0;-0.0025;48;0.74025974;107.868;18;0;1.74025974;1;8;0;0;0;nosocomial;pathogenic;0;nature;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;3.465735903;Acinetobacter baumannii BAA-747;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
36;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;guts;0;-0.0025;4;0.74025974;107.868;2;0;1.74025974;1;1.5;0;0;0;mouth;non-pathogenic;0;human;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;4.158883083;Escherichia coli ATCC 25922;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
37;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;clinical samples (blood, sputum);0;-0.0025;48;0.74025974;107.868;24;0;1.74025974;1;18;0;0;0;skin;opportunistic pathogen;0;nosocomial;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;5.545177444;Staphylococcus aureus ATCC 29213;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
38;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;bladder;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;clinical samples (urine);opportunistic pathogen;0;human;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;0;5.545177444;Staphylococcus saprophyticus ATCC 49453;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
39;15;20;25;commercial;MIC;small-molecule;18;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;skin;0;-0.0025;48;0.74025974;107.868;24;0;1.74025974;1;6;0;0;0;guts;opportunistic pathogen;0;human;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;5.545177444;Staphylococcus sciuri ATCC 29061;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
40;15;20;25;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;clinical samples (sputum, urine);0;-0.0025;12;0.74025974;107.868;8;0;1.74025974;0;4;0;0;0;clinical samples (wound swabs);opportunistic pathogen;0;nosocomial;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;-0.470003629;Pseudomonas aeruginosa ATCC 27853;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
41;15;20;25;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;clinical samples (sputum, urine);0;-0.0025;12;0.74025974;107.868;8;0;1.74025974;0;4;0;0;0;clinical samples (wound swabs);opportunistic pathogen;0;nosocomial;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;2.772588722;Pseudomonas aeruginosa ATCC 27853;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
42;15;20;25;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;clinical samples (blood, sputum);0;-0.0025;48;0.74025974;107.868;24;0;1.74025974;1;18;0;0;0;skin;opportunistic pathogen;0;nosocomial;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;5.545177444;Staphylococcus aureus ATCC 29213;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
43;15;20;25;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;skin;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;medical surfaces;non-pathogenic;0;human;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;5.545177444;Staphylococcus epidermidis ATCC 12228;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
44;15;20;25;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;bladder;0;-0.0025;24;0.74025974;107.868;12;0;1.74025974;1;6;0;0;0;clinical samples (urine);opportunistic pathogen;0;human;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;0;1;0;5.545177444;Staphylococcus saprophyticus ATCC 49453;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
45;15;20;25;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;skin;0;-0.0025;48;0.74025974;107.868;24;0;1.74025974;1;6;0;0;0;guts;opportunistic pathogen;0;human;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;5.545177444;Staphylococcus sciuri ATCC 29061;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
62;28;28;28;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;4;0;1.74025974;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;-0.223143551;Escherichia coli nan;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
63;28;28;28;commercial;MIC;small-molecule;24;water;spherical;none;;1.78376517;medium;chemical;0;11;0;0;guts;0;-0.0025;24;0.74025974;107.868;4;0;1.74025974;1;1.5;0;0;0;mouth;opportunistic pathogen;0;human;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1.223775432;Escherichia coli nan;chemical_synthesis purchased from sigma aldrich ( citrate capped agnps)
